Date,Temp,Wind_Speed,Precip_Amt,Solar_Rad,day_type,school_holiday,winter,volume
1/04/11,12.83541667,6.520833333,0,246.6666667,WE,0,0,89572.34469
2/04/11,13.015625,4.583333333,0.008333333,477.8125,SA,0,0,72732.25552
3/04/11,8.336458333,3.625,0.033333333,488.5416667,SU,0,0,67342.21994
4/04/11,7.492708333,4.677083333,0,282.9166667,WE,0,0,90183.71072
5/04/11,12.03020833,6.385416667,0.025,236.1458333,WE,0,0,91707.6774
6/04/11,14.84166667,5.03125,0,709.9479167,WE,0,0,91518.86205
7/04/11,11.95104167,3.125,0,419.0104167,WE,0,0,91430.16366
8/04/11,11.84583333,2.427083333,0,842.7604167,WE,0,0,88485.88566
9/04/11,13.09583333,2.885416667,0,835.2083333,SA,1,0,72708.43381
10/04/11,11.29166667,1.833333333,0,851.1979167,SU,1,0,68030.50983
11/04/11,10.47708333,3.635416667,0.025,506.4583333,WE,1,0,86561.86808
12/04/11,8.1625,4.604166667,0,759.7916667,WE,1,0,87987.57262
13/04/11,6.96875,3.447916667,0,309.1145833,WE,1,0,89530.34201
14/04/11,9.739583333,2.604166667,0,321.40625,WE,1,0,88988.21414
15/04/11,11.3375,2.375,0,339.7395833,WE,1,0,85545.49382
16/04/11,12.24895833,1.864583333,0,666.9270833,SA,1,0,72181.06982
17/04/11,11.96875,1.677083333,0,737.3958333,SU,1,0,67830.9147
18/04/11,12.31875,2.489583333,0,660,WE,1,0,86067.32735
19/04/11,12.12395833,2.552083333,0,900.3125,WE,1,0,88220.42844
20/04/11,12.64479167,2.354166667,0,881.6666667,WE,1,0,89009.93556
21/04/11,15.1625,2.4375,0,871.0416667,WE,1,0,87933.73857
22/04/11,15.78854167,2.197916667,0,869.7395833,GF,1,0,77913.72638
23/04/11,15.159375,2.333333333,0,825.78125,SA,1,0,70309.56349
24/04/11,12.86354167,3.166666667,0,372.9166667,SU,1,0,61139.85516
25/04/11,13.26770833,3.135416667,0,894.375,EM,1,0,67807.56277
26/04/11,9.395833333,4.708333333,0,431.4583333,WE,1,0,79463.35236
27/04/11,10.059375,3.614583333,0,783.8541667,WE,1,0,87157.91555
28/04/11,9.166666667,4.270833333,0,959.6354167,WE,1,0,85624.29516
29/04/11,11.44375,5.03125,0,362.03125,SU,1,0,73517.22577
30/04/11,12.20104167,5.947916667,0,947.2395833,SA,1,0,69311.98114
1/05/11,12.46770833,5.197916667,0,1034.583333,SU,1,0,65787.17163
2/05/11,10.04583333,5.520833333,0,1078.958333,M1,1,0,71210.8252
3/05/11,9.275,3.833333333,0,1097.6875,WE,1,0,86849.35887
4/05/11,9.786458333,3.3125,0,1053.15625,WE,0,0,89584.05657
5/05/11,13.04583333,3.375,0,606.1458333,WE,0,0,90096.81445
6/05/11,15.93020833,3.65625,0,815.34375,WE,0,0,88407.04623
7/05/11,15.928125,3.677083333,0.522916667,394.9270833,SA,0,0,74797.70613
8/05/11,14.95104167,5.729166667,0.458333333,857.53125,SU,0,0,67944.56215
